Award Name,Award Number,year_of_award,Name,Nationality,Birthplace,date_of_birth,Anscestry,Faith,sexual_orientation,Movie,movie_genre,movie_type,IMDB_rate,RottenTomatoesCritics_rate,RottenTomatoesPublic_rate
Best Director,1,1928,Frank Borzage,American,Us,23-Apr-1894,European,Na,Straight,7th Heaven,Romantic drama,film,7.8,1.00,0.84
Best Director,1,1928,Lewis Milestone,American,Moldova,30-Sep-1895,European,Jewish,Straight,Two Arabian Knights,Comedy,film,6.8,Na,0.63
Best Actress,1,1928,Janet Gaynor,American,US,6-Oct-1906,European,Na,Straight,7th Heaven,Romantic drama,film,7.8,1.00,0.84
Best Actor,1,1928,Emil Jannings,German,Switzerland,23-Jul-1884,European,Protestant,Na,The Last Command,Pre-code Melodrama,film,8.0,1.00,0.91,x
Best Director,2,1929,Frank Lloyd,British-American,Scotland,2-Feb-1886,European,Na,Na,The Divine Lady,Drama,musical,6.3,Na,0.21
Best Actress,2,1929,Mary Pickford,English-American,Canada,8-Apr-1892,European,Na,Straight,Coquette,Pre-code drama,film,7.1,Na,0.24
Best Actor,2,1929,Warner Baxter,American,US,29-Mar-1889,European,Na,Straight,In Old Arizona,Pre-code Western,film,5.7,0.56,0.39
Best Director,3,1930,Lewis Milestone,American,Moldova,30-Sep-1895,European,Jewish,Straight,All Quiet on the Western Front,Pre-code Epic  war,film,8.1,1.00,0.89
Best Actress,3,1930,Norma Shearer,Canadian-American,Canada,11-Aug-1902,European,Na,Straight,The Divorcee,Pre-code drama,film,6.8,0.75,0.63
Best Actor,3,1930,George Arliss,English,England,10-Apr-1868,European,Protestant,Straight,Disraeli,historical drama,film,6.4,0.8,0.42
Best Director,4,1931,Norman Taurog,American,Us,23-Feb-1899,European,Na,Straight,Skippy,Pre-code comedy,film,6.3,1.00,0.56
Best Actress,4,1931,Marie Dressler,Canadian-American,Canada,2-Nov-1868,European,Na,Straight,Min and Bill,Pre-Code Comedy drama,film,7.3,Na,0.45
Best Actor,4,1931,Lionel Barrymore,American,US,28-Apr-1878,European,Roman Catholic,Straight,A Free Soul,Pre-code Drama,film,6.7,NC,0.56
Best Director,5,1932,Frank Borzage,American,Us,23-Apr-1894,European,Roman Catholic,Straight,Bad Girl,Pre-code Drama,film,6.6,Na,0.42
Best Actress,5,1932,Helen Hayes,American,US,10-Oct-1900,European,Roman Catholic,Straight,The Sin of Madelon Claudet,Pre-code drama,film,6.7,Na,0.68
Best Actor,5,1932,Wallace Beery,American,US,1-Apr-1885,European,Na,Straight,The Champ,Pre-code Drama,film,7.3,0.83,0.75
Best Actor,5,1932,Frederic March,American,US,31-Aug-1897,European,Protestant,,Dr. Jekyll and Mr. Hyde,Pre-code Horror,film,7.7,0.93,0.78,5
Best Director,6,1933,Frank Lloyd,British-American,Scotland,2-Feb-1886,European,Na,Na,Cavalcade,Pre-Code Epic Drama,film,6.0,0.61,0.26
Best Actress,6,1933,Katharine Hepburn,American,US,12-May-1907,European,Atheist,Bisexual,Morning Glory,Pre-code drama,film,6.6,0.67,0.46
Best Actor,6,1933,Charles Laughton,English,England,1-Jul-1899,European,Roman Catholic,Bisexual,The Private Life of Henry VIII,Historical comedy,film,7.2,1.00,0.78
Best Director,7,1934,Frank Capra,Italian-American,Italy,18-May-1897,European,Roman Catholic,Straight,It Happened One Night,Pre-code Romantic Comedy,film,8.1,0.98,0.93
Best Actress,7,1934,Claudette Colbert,American,France,13-Sep-1903,European,Na,Straight,It Happened One Night,Pre-code Romantic Comedy,film,8.1,0.98,0.93
Best Actor,7,1934,Clark Gable,American,US,1-Feb-1901,European,Na,Straight,It Happened One Night,Pre-code Romantic Comedy,film,8.1,0.98,0.93
Best Director,8,1935,John Ford,American,US,1-Feb-1894,European,Roman Catholic,Bisexual,The Informer,Drama,film,7.5,0.92,0.78
Best Actress,8,1935,Bette Davis,American,US,5-Apr-1908,European,Na,Straight,Dangerous,Drama,film,7.1,Na,0.63
Best Actor,8,1935,Victor McLaglen,English,England,10-Dec-1886,European,Protestant,Straight,The Informer,Drama,film,7.5,0.92,0.78
Best Director,9,1936,Frank Capra,Italian-American,Italy,18-May-1897,European,Roman Catholic,Straight,Mr. Deeds Goes to Town,Romantic comedy,film,8.0,0.89,0.86
Best Actress,9,1936,Luise Rainer,German-American,Germany,12-Jan-1910,European,Jewish,Straight,The Great Ziegfeld,Drama,musical,6.8,0.65,0.50
Best Actor,9,1936,Paul Muni,American,Ukraine,22-Sep-1895,European,Jewish,Straight,The Story of Louis Pasteur,Biographical drama,film,7.4,1.00,0.77
Best Director,10,1937,Leo McCarey,American,US,3-Oct-1898,European,Roman Catholic,Straight,The Awful Truth,Comedy,film,7.9,0.93,0.88
Best Actress,10,1937,Luise Rainer,German-American,Germany,12-Jan-1910,European,Jewish,Straight,The Good Earth,Drama,film,7.7,0.94,0.76
Best Actor,10,1937,Spencer Tracy,American,US,5-Apr-1900,European,Roman Catholic,Straight,Captains Courageous,Adventure,film,8.0,0.93,0.89
Best Director,11,1938,Frank Capra,Italian-American,Italy,18-May-1897,European,Roman Catholic,Straight,You Can't Take It with You,Romantic comedy,film,8.0,0.91,0.88
Best Actress,11,1938,Bette Davis,American,US,5-Apr-1908,European,Na,Straight,Jezebel,Romantic drama,film,7.6,0.94,0.82
Best Actor,11,1938,Spencer Tracy,American,US,5-Apr-1900,European,Roman Catholic,Straight,Boys Town,Biographical drama,film,7.3,0.89,0.82
Best Director,12,1939,Victor Fleming,American,US,23-Feb-1883,European,Na,Straight,Gone with the Wind,Epic-Historical Romance,film,8.2,0.92,0.92
Best Actress,12,1939,Vivien Leigh,English,India,5-Nov-1913,European,Roman Catholic,Straight,Gone with the Wind,Epic-Historical Romance,film,8.2,0.92,0.92
Best Actor,12,1939,Robert Donat,English,England,18-Mar-1905,European,Na,Straight,Goodbye Mr. Chips,Romantic drama,film,7.8,0.81,0.87
Best Director,13,1940,John Ford,American,US,1-Feb-1894,European,Roman Catholic,Bisexual,The Grapes of Wrath,Drama,film,8.1,1.00,0.88
Best Actress,13,1940,Ginger Rogers,American,US,16-Jul-1911,European,Christian Science,Straight,Kitty Foyle,Drama,film,7.0,0.78,0.73
Best Actor,13,1940,Jimmy Stewart,American,US,20-May-1908,European,Protestant,Straight,The Philadelphia Story,Romantic Comedy,film,8.0,1.00,0.93
Best Director,14,1941,John Ford,American,US,1-Feb-1894,European,Roman Catholic,Bisexual,How Green Was My Valley,Drama,film,7.8,0.91,0.81
Best Actress,14,1941,Joan Fontaine,British-American,Japan,22-Oct-1917,European,Na,Straight,Suspicion,Romantic psychological thriller,film,7.4,0.97,0.78
Best Actor,14,1941,Gary Cooper,American,US,7-May-1901,European,Roman Catholic,Straight,Sergeant York,Biographical drama,film,7.8,0.85,0.86
Best Director,15,1942,William Wyler,American,France,1-Jul-1902,European,Jewish,Straight,Mrs. Miniver,Romantic war drama,film,7.6,0.92,0.85
Best Actress,15,1942,Greer Garson,British-American,England,29-Sep-1904,European,Protestant,Straight,Mrs. Miniver,Romantic war drama,film,7.6,0.92,0.85
Best Actor,15,1942,James Cagney,American,US,17-Jul-1899,European,Roman Catholic,Straight,Yankee Doodle Dandy,Biographical drama,musical,7.7,0.92,0.83
Best Director,16,1943,Michael Curtiz,American,Hungary,24-Dec-1886,European,Jewish,Straight,Casablanca,Romantic comedy,film,8.5,0.97,0.95
Best Actress,16,1943,Jennifer Jones,American,US,2-Mar-1919,European,Roman Catholic,Straight,The Song of Bernadette,Biographical drama,film,7.7,0.83,0.80
Best Actor,16,1943,Paul Lukas,Hungarian,Hungary,26-May-1887,European,Jewish,Straight,Watch on the Rhine,Drama,film,7.4,0.8,0.62
Best Director,17,1944,Leo McCarey,American,US,3-Oct-1898,European,Roman Catholic,Straight,Going My Way,Comedy,musical,7.2,0.78,0.76
Best Actress,17,1944,Ingrid Bergman,Swedish,Sweden,29-Aug-1915,European,Protestant,Straight,Gaslight,Mystery thriller,film,7.8,0.86,0.90
Best Actor,17,1944,Bing Crosby,American,US,3-May-1903,European,Roman Catholic,Straight,Going My Way,Comedy,musical,7.2,0.78,0.76
Best Director,18,1945,Billy Wilder,American,Austria,22-Jun-1906,European,Jewish,Straight,The Lost Weekend,Noir,film,8.0,1.00,0.9
Best Actress,18,1945,Joan Crawford,American,US,23-Mar-1904,European,Protestant,Bisexual,Mildred Pierce,Noir,film,8.0,0.85,0.91
Best Actor,18,1945,Ray Milland,Welsh-American,Wales,3-Jan-1907,European,Na,Straight,The Lost Weekend,Noir,film,8.0,1.00,0.9
Best Director,19,1946,William Wyler,American,France,1-Jul-1902,European,Jewish,Straight,The Best Years of Our Lives,Drama,film,8.1,0.96,0.92
Best Actress,19,1946,Olivia de Havilland,British-American,Japan,1-Jul-1916,European,Protestant,Straight,To Each His Own,Romantic drama,film,7.8,Na,0.84
Best Actor,19,1946,Fredric March,American,US,31-Aug-1897,European,Protestant,Straight,The Best Years of Our Lives,Drama,film,8.1,0.96,0.92
Best Director,20,1947,Elia Kazan,Greek-American,Turkey,7-Sep-1909,European,Greek orthodox,Straight,Gentleman's Agreement,Drama,film,7.4,0.78,0.77
Best Actress,20,1947,Loretta Young,American,US,6-Jan-1913,European,Roman Catholic,Straight,The Farmer's Daughter,Play adaptation,film,7.4,1.00,0.78
Best Actor,20,1947,Ronald Colman,English,England,9-Feb-1891,European,Na,Straight,A Double Life,Noir,film,7.1,0.71,0.69
